Component,Quantity,Approx Cost (INR),Purchase Link
Arduino Uno,1,550,https://robu.in/product/arduino-uno-r3-compatible-board/
DHT11 Temperature & Humidity Sensor,1,120,https://robu.in/product/dht11-temperature-humidity-sensor-module/
16x2 I2C LCD Display,1,180,https://robu.in/product/16x2-lcd-display-with-i2c-module/
Breadboard,1,100,https://robu.in/product/830-point-solderless-breadboard/
Jumper Wires (Male-to-Male),1 Set,80,https://robu.in/product/40-pin-male-to-male-jumper-wire/
USB A to B Cable,1,80,https://robu.in/product/usb-a-to-b-cable-for-arduino/
